FIFO: 58
0 1616 11
1 778 25
2 191 1
3 778 26
4 778 4
5 191 0
6 1616 10
7 1616 6
8 1616 8
9 1616 9
10 1616 7
11 191 2
12 778 17
13 191 3
14 778 7
15 1616 15
16 1616 14
17 778 9
18 1616 13
19 778 16
20 1616 2
21 191 4
22 778 14
23 191 6
24 778 19
25 778 15
26 191 5
LRU: 56
0 1616 3
1 778 4
2 191 1
3 778 15
4 778 16
5 191 0
6 1616 4
7 1616 2
8 1616 15
9 1616 6
10 1616 9
11 191 2
12 778 17
13 191 3
14 778 14
15 1616 11
16 1616 7
17 778 25
18 1616 8
19 778 19
20 1616 14
21 191 4
22 778 13
23 191 6
24 778 9
25 778 26
26 191 5
OPT: 47
0 1616 6
1 778 14
2 191 1
3 778 13
4 778 23
5 191 0
6 1616 8
7 1616 9
8 1616 12
9 1616 17
10 1616 7
11 191 2
12 778 19
13 191 3
14 778 21
15 1616 14
16 1616 13
17 778 25
18 1616 15
19 778 17
20 1616 1
21 191 4
22 778 26
23 191 6
24 778 4
25 778 20
26 191 5
